Distance,Anomaly
15,11.25
14.5,11
14,11.6
13.5,14.25
13,17
12.5,19
12,26.33333333
11.5,38.6
11,54.33333333
10.75,67.66666667
10.5,81.33333333
10.25,96.2
10,122.1666667
9.75,146.6666667
9.5,192.4
9.25,215.3333333
9,243.25
8.75,264.8571429
8.5,269
8.25,239.25
8,257.8
7.75,218.2
7.5,178.25
7.25,154
7,110.75
6.75,90.25
6.5,63.6
6.25,47.33333333
6,34.66666667
5.5,22.33333333
5,15.66666667
4.5,12.33333333
4,10.66666667
3.5,9
3,7.25
2.5,8
2,7.333333333
1.5,10
1,9.333333333
0.5,10.33333333
0,9.333333333
