Team,Time,Location (m),Corrected Total Field Data (nT),Standard Deviation (nT)
1,15:23,5.2,54554,1.854723699
1,15:24,10.2,54534.4,1.469693846
1,15:26,15.2,54562.6,3.310589071
1,15:27,20.2,54541,3.878143886
1,15:27,24.8,54527.2,1.166190379
2,15:32,7,54529.42778,1.343709625
2,15:34,12,54529.62222,1.707825128
2,15:36,17,54632.78333,5.306599665
2,15:37,22,54529.17778,1.374368542
2,15:38,19,54568.70556,2.708012802
3,15:41,9,54534.36667,1.166190379
3,15:42,14,54544.53333,1.469693846
3,15:43,16,54585.5,4.758150901
3,15:44,18,54634.81667,6.79613861
3,15:45,24,54532.63333,1.2
4,15:59,15.5,54579.53333,2.227105745
4,16:00,16.5,54624.13333,14.45821566
4,16:01,17.5,54660.93333,11.58274579
4,16:02,18.5,54621.13333,3.006659276
4,16:03,19.5,54548.93333,2.785677655
5,16:21,15.75,54584.6,2.28035085
5,16:22,16.25,54599.6,2.28035085
5,16:23,16.75,54598.6,4.472135955
5,16:24,17.25,54638.85,5.804093383
5,16:26,17.75,54632.35,11.03120574
7,16:50,18.25,54616.1,10.92886087
7,,18.75,54573.8,2.315167381
7,,19.75,54543.5,3.762977544
7,,20.75,54532.2,2.332380758
7,16:56,21.25,54536.5,1.019803903
8,17:03,17.25,54674.23333,1.58113883
8,17:04,17.45,54671.66667,7.183313998
8,17:05,17.65,54689.1,11.04536102
8,17:06,17.85,54671.78333,10.66243406
8,17:06,18.05,54685.46667,6.68954408
9,17:13,18,54669.5,51.98999904
9,,18.25,54633.4,36.42856022
9,,18.5,54617.8,7.017834424
9,,18.75,54582.35,1.299038106
9,17:19,19,54592.3,3.826225294
10,17:22,19,54572.76667,3.867815921
10,17:23,19.25,54553.73333,2.638181192
10,17:24,19.5,54547.5,3.867815921
10,17:25,19.75,54537.66667,3.082207001
10,17:26,20,54536.83333,2.039607805
