Team,Time,Location (m),Corrected Total Field Data (nT),Standard Deviation (nT)
0,5:04,14,54543,1.264911064
0,,14.25,54542.2,1.166190379
0,,14.5,54541,0
0,,14.75,54543.5,0.866025404
0,,15,54539.16667,2.19215774
0,,15.25,54538.5,0.866025404
0,,15.5,54540.33333,0.471404521
0,,15.75,54540.4,1.356465997
0,,16,54538.75,1.299038106
0,,16.25,54531,0
0,,16.5,54533,0
0,,16.75,54533.5,1.118033989
0,,17,54537.33333,3.036811193
0,,17.25,54520.2,2.4
0,,17.5,54512.66667,0.942809042
0,,17.75,54494.2,3.249615362
0,,18,54504.75,1.299038106
0,,18.25,54486,4.760952286
0,,18.5,54507.75,0.829156198
0,,18.75,54503,2.898275349
0,,19,54514.25,1.479019946
0,,19.25,54514.8,2.481934729
0,,19.5,54517.25,1.479019946
0,,19.75,54522.75,0.433012702
0,,20,54526.5,0.866025404
0,,20.25,54530.5,1.118033989
0,,20.5,54532.33333,0.471404521
0,,20.75,54535.75,0.829156198
0,,21,54539.75,1.089724736
0,,21.25,54541.66667,0.471404521
0,,21.5,54544.2,1.6
0,,21.75,54544,0
0,5:22,22,54543.2,1.939071943
