Team,Time,Location (m),Corrected Total Field Data (nT),Standard Deviation (nT)
1,3:21,6,54551.56667,1.885618083
1,,10,54545.6,0.979795897
1,,14,54537.1,0.489897949
1,,18,54469,5.535341001
1,3:28,22,54536.7,1.720465053
2,3:30,8,54547.63333,1.854723699
2,,12,54543.46667,0.8
2,,16,54493.1,4.621688003
2,,20,54526.93333,0.748331477
2,3:34,24,54547.56667,2.683281573
3,3:38,7,54547.96667,2.481934729
3,,11,54538.13333,1.788854382
3,,13,54541.9,1.356465997
3,,17,54511.66667,4.166533331
3,3:44,23,54539.83333,1.2
4,3:47,15.5,54539.53333,1.496662955
4,,16.5,54541.66667,3.286335345
4,,17.5,54541,4.841487375
4,,18.5,54531.93333,2.638181192
4,3:53,19.5,54525.06667,0.748331477
5,3:56,15.25,54528.30556,1.496662955
5,,16.25,54505.41111,1.788854382
5,,17.25,54489.91667,6.675327707
5,,19.25,54475.15556,7.586537784
5,4:02,20.25,54509.52778,2.380476143
6,4:07,15.75,54526.87222,0.816496581
6,,16.75,54503.97778,4.412734098
6,,17.75,54488.48333,3.826225294
6,,18.75,54473.72222,1.624807681
6,4:11,19.75,54508.09444,1.166190379
7,4:17,20,54507.70556,2.039607805
7,,19,54479.44444,2.872281323
7,,18,54471.11667,1.58113883
7,,17,54485.82222,9.669539803
7,4:22,16,54499.12778,2.638181192
8,4:28,15,54535.76667,1.6
8,,16,54507.56667,0.748331477
8,,17,54520.56667,7.735631842
8,,18,54498.06667,3.299831646
8,4:34,19,54528.36667,2.785677655
9,4:38,15.5,54532.65556,2.332380758
9,,16.5,54516.11111,5.418486874
9,,17.5,54506.76667,13.91342278
9,,18.5,54493.35556,6.649979114
9,4:43,19.5,54494.07778,3.878143886
10,4:52,17.25,54517.66667,2.384848004
10,4:53,17.75,54498.13333,11.12474719
10,4:54,18.25,54459.3,6.794115101
10,4:55,18.75,54467.33333,1.673320053
10,4:56,19.25,54507.13333,1.469693846
