station,MAG_MEAN,STDEV
0,54459.12,1
1,54451.24,1.732050808
2,54450.36,1.527525232
3,54445.48,1.154700538
4,54443.6,1.5
5,54445.72,1.732050808
6,54445.17333,2.722262714
7,54442.96,1.154700538
8,54449.08,2.302172887
9,54447.52174,3.829708431
10,54464.34348,2.886751346
10.5,54495.91522,2.581988897
11,54525.15362,3.420526275
11.5,54564.3087,3.669695719
12,54580.96377,3.049590136
12.5,54571.20217,3.535533906
13,54532.10725,4.098780306
13.5,54492.34565,4.509249753
14,54469.48913,2.081665999
14.5,54451.06087,2.081665999
15,54446.63261,1.154700538
15.5,54440.20435,1.732050808
16,54435.77609,1.154700538
16.5,54431.84783,3.403429643
17,54432.91957,2.309401077
18,54429.4913,1.154700538
19,54432.06304,1.154700538
20,54427.63478,0.577350269
