,Ax,Az,Bx,Bz,Mx,Mz,Nx,Nz,Voltage,Uncertainty
0,0.0,0.0,10.0,0.0,20.0,0.0,30.0,0.0,-5.923217007127083,0.0
1,0.0,0.0,10.0,0.0,30.0,0.0,40.0,0.0,-1.4557878732204768,0.0
2,0.0,0.0,10.0,0.0,40.0,0.0,50.0,0.0,-0.5699274769218244,0.0
3,0.0,0.0,10.0,0.0,50.0,0.0,60.0,0.0,-0.2798352152576677,0.0
4,0.0,0.0,10.0,0.0,60.0,0.0,70.0,0.0,-0.15977828147898288,0.0
5,0.0,0.0,10.0,0.0,70.0,0.0,80.0,0.0,-0.10436688543147729,0.0
6,0.0,0.0,10.0,0.0,80.0,0.0,90.0,0.0,-0.07247960536686335,0.0
7,0.0,0.0,10.0,0.0,90.0,0.0,100.0,0.0,-0.022658772298264667,0.0
8,10.0,0.0,20.0,0.0,30.0,0.0,40.0,0.0,-5.925484711049057,0.0
9,10.0,0.0,20.0,0.0,40.0,0.0,50.0,0.0,-1.459402738670786,0.0
10,10.0,0.0,20.0,0.0,50.0,0.0,60.0,0.0,-0.5748373358738518,0.0
11,10.0,0.0,20.0,0.0,60.0,0.0,70.0,0.0,-0.2869104770208903,0.0
12,10.0,0.0,20.0,0.0,70.0,0.0,80.0,0.0,-0.17054171176458327,0.0
13,10.0,0.0,20.0,0.0,80.0,0.0,90.0,0.0,-0.11148233823183377,0.0
14,10.0,0.0,20.0,0.0,90.0,0.0,100.0,0.0,-0.033791664722772626,0.0
15,10.0,0.0,20.0,0.0,100.0,0.0,110.0,0.0,-0.014065023350388296,0.0
16,20.0,0.0,30.0,0.0,40.0,0.0,50.0,0.0,-5.930106267466174,0.0
17,20.0,0.0,30.0,0.0,50.0,0.0,60.0,0.0,-1.4658323033230087,0.0
18,20.0,0.0,30.0,0.0,60.0,0.0,70.0,0.0,-0.5846947134157238,0.0
19,20.0,0.0,30.0,0.0,70.0,0.0,80.0,0.0,-0.3029256687493226,0.0
20,20.0,0.0,30.0,0.0,80.0,0.0,90.0,0.0,-0.18233339390448836,0.0
21,20.0,0.0,30.0,0.0,90.0,0.0,100.0,0.0,-0.05311121700839643,0.0
